Index,Category
0,0
1,2
2,0
3,8
4,1
5,0
6,1
7,0
8,0
9,1
10,9
11,0
12,1
13,2
14,1
15,9
16,9
17,9
18,1
19,9
20,0
21,0
22,0
23,0
24,0
25,0
26,8
27,0
28,9
29,9
30,0
31,9
32,9
33,0
34,9
35,0
36,8
37,0
38,0
39,9
40,0
41,3
42,3
43,0
44,9
45,0
46,0
47,1
48,9
49,1
50,0
51,1
52,8
53,0
54,5
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,9
64,1
65,1
66,0
67,3
68,9
69,0
70,1
71,0
72,0
73,9
74,0
75,8
76,9
77,0
78,0
79,9
80,0
81,9
82,9
83,9
84,0
85,1
86,9
87,6
88,0
89,0
90,0
91,0
92,2
93,0
94,0
95,1
96,8
97,0
98,9
99,0
100,0
101,0
102,0
103,8
104,0
105,8
106,0
107,6
108,9
109,1
110,0
111,9
112,1
113,9
114,0
115,0
116,1
117,0
118,9
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,8
127,9
128,0
129,9
130,1
131,1
132,1
133,1
134,2
135,0
136,5
137,0
138,0
139,0
140,0
141,0
142,8
143,9
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,1
152,1
153,2
154,0
155,1
156,9
157,8
158,9
159,0
160,2
161,1
162,0
163,2
164,0
165,0
166,1
167,9
168,0
169,0
170,1
171,9
172,0
173,0
174,8
175,0
176,0
177,8
178,9
179,0
180,9
181,8
182,9
183,0
184,1
185,0
186,8
187,9
188,0
189,0
190,0
191,9
192,9
193,5
194,8
195,9
196,9
197,8
198,0
199,6
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,5
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,9
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,8
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,9
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,2
294,1
295,1
296,9
297,1
298,1
299,5
300,9
301,1
302,1
303,1
304,1
305,9
306,1
307,1
308,1
309,1
310,9
311,1
312,1
313,1
314,9
315,9
316,1
317,9
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,9
327,1
328,1
329,1
330,2
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,9
346,1
347,7
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,9
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,9
366,1
367,1
368,9
369,1
370,1
371,1
372,1
373,9
374,1
375,1
376,1
377,1
378,1
379,9
380,1
381,9
382,9
383,9
384,2
385,1
386,1
387,1
388,1
389,1
390,1
391,9
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,6
401,1
402,2
403,2
404,1
405,6
406,1
407,2
408,2
409,2
410,5
411,6
412,2
413,9
414,2
415,2
416,2
417,6
418,0
419,0
420,3
421,5
422,2
423,5
424,1
425,2
426,5
427,6
428,5
429,1
430,6
431,1
432,1
433,5
434,2
435,0
436,2
437,1
438,2
439,2
440,2
441,6
442,6
443,6
444,2
445,2
446,2
447,2
448,0
449,1
450,2
451,2
452,2
453,1
454,0
455,2
456,2
457,2
458,5
459,2
460,2
461,2
462,9
463,2
464,2
465,2
466,2
467,3
468,9
469,6
470,2
471,6
472,3
473,6
474,2
475,1
476,9
477,6
478,2
479,9
480,6
481,2
482,5
483,0
484,2
485,5
486,2
487,6
488,6
489,2
490,2
491,2
492,5
493,1
494,6
495,2
496,6
497,2
498,1
499,2
500,5
501,6
502,2
503,6
504,1
505,1
506,0
507,0
508,2
509,1
510,2
511,2
512,6
513,6
514,6
515,6
516,2
517,2
518,6
519,0
520,2
521,3
522,6
523,5
524,6
525,2
526,5
527,7
528,6
529,6
530,2
531,0
532,2
533,9
534,6
535,2
536,4
537,6
538,6
539,2
540,2
541,6
542,1
543,2
544,6
545,7
546,6
547,2
548,2
549,9
550,9
551,8
552,6
553,2
554,2
555,1
556,6
557,1
558,9
559,6
560,4
561,2
562,5
563,6
564,2
565,2
566,6
567,2
568,2
569,2
570,7
571,7
572,2
573,0
574,6
575,0
576,3
577,0
578,1
579,7
580,2
581,2
582,7
583,5
584,2
585,2
586,5
587,1
588,6
589,6
590,5
591,2
592,6
593,0
594,6
595,2
596,6
597,2
598,6
599,2
600,5
601,6
602,5
603,1
604,6
605,5
606,9
607,6
608,3
609,3
610,6
611,4
612,5
613,3
614,3
615,3
616,3
617,3
618,3
619,9
620,3
621,5
622,5
623,3
624,3
625,5
626,0
627,9
628,6
629,6
630,9
631,5
632,3
633,3
634,6
635,5
636,5
637,3
638,2
639,5
640,6
641,7
642,3
643,5
644,2
645,1
646,3
647,5
648,3
649,6
650,3
651,5
652,7
653,3
654,5
655,8
656,6
657,3
658,3
659,1
660,5
661,9
662,3
663,5
664,6
665,9
666,3
667,1
668,5
669,5
670,1
671,7
672,3
673,7
674,6
675,6
676,3
677,5
678,9
679,3
680,7
681,1
682,3
683,3
684,6
685,5
686,0
687,8
688,1
689,9
690,3
691,6
692,5
693,2
694,3
695,3
696,2
697,3
698,7
699,9
700,9
701,5
702,0
703,5
704,0
705,1
706,7
707,3
708,6
709,0
710,5
711,5
712,5
713,9
714,3
715,5
716,3
717,2
718,5
719,9
720,3
721,9
722,3
723,5
724,6
725,9
726,6
727,3
728,1
729,6
730,5
731,3
732,1
733,9
734,3
735,3
736,3
737,9
738,5
739,6
740,1
741,1
742,1
743,7
744,1
745,3
746,1
747,3
748,6
749,9
750,5
751,5
752,3
753,5
754,3
755,1
756,3
757,3
758,5
759,6
760,9
761,6
762,0
763,8
764,9
765,0
766,0
767,5
768,9
769,2
770,1
771,7
772,9
773,3
774,6
775,5
776,6
777,2
778,9
779,3
780,9
781,5
782,9
783,5
784,5
785,2
786,9
787,6
788,1
789,9
790,9
791,6
792,5
793,3
794,6
795,6
796,5
797,3
798,6
799,9
800,1
801,1
802,2
803,4
804,9
805,0
806,6
807,2
808,2
809,6
810,7
811,4
812,6
813,3
814,4
815,3
816,6
817,4
818,4
819,1
820,6
821,4
822,3
823,3
824,1
825,9
826,7
827,9
828,7
829,2
830,7
831,3
832,4
833,1
834,6
835,2
836,4
837,9
838,5
839,4
840,6
841,3
842,9
843,2
844,1
845,4
846,6
847,5
848,4
849,4
850,7
851,4
852,4
853,4
854,6
855,1
856,0
857,6
858,5
859,7
860,7
861,1
862,6
863,9
864,7
865,6
866,9
867,6
868,9
869,0
870,3
871,4
872,6
873,6
874,3
875,9
876,6
877,7
878,4
879,6
880,3
881,5
882,1
883,0
884,6
885,1
886,4
887,3
888,0
889,4
890,0
891,3
892,9
893,1
894,9
895,0
896,5
897,6
898,2
899,9
900,6
901,5
902,7
903,5
904,1
905,7
906,6
907,6
908,5
909,6
910,6
911,6
912,6
913,7
914,6
915,6
916,7
917,0
918,2
919,5
920,1
921,6
922,7
923,4
924,5
925,7
926,3
927,1
928,9
929,0
930,7
931,6
932,6
933,4
934,1
935,1
936,3
937,1
938,6
939,5
940,6
941,6
942,5
943,0
944,7
945,0
946,7
947,7
948,0
949,0
950,8
951,7
952,0
953,9
954,2
955,5
956,8
957,7
958,2
959,7
960,0
961,7
962,3
963,6
964,1
965,3
966,7
967,3
968,0
969,1
970,4
971,9
972,7
973,9
974,6
975,1
976,6
977,6
978,2
979,1
980,6
981,4
982,6
983,1
984,1
985,2
986,7
987,7
988,6
989,5
990,2
991,0
992,4
993,0
994,3
995,1
996,6
997,3
998,2
999,9
1000,5
1001,5
1002,5
1003,5
1004,5
1005,5
1006,5
1007,5
1008,5
1009,5
1010,5
1011,5
1012,5
1013,5
1014,5
1015,5
1016,5
1017,5
1018,5
1019,5
1020,5
1021,5
1022,5
1023,1
1024,5
1025,5
1026,5
1027,5
1028,5
1029,5
1030,5
1031,5
1032,2
1033,5
1034,5
1035,2
1036,5
1037,5
1038,5
1039,2
1040,5
1041,5
1042,2
1043,5
1044,3
1045,0
1046,2
1047,6
1048,5
1049,9
1050,5
1051,5
1052,5
1053,4
1054,6
1055,5
1056,1
1057,5
1058,5
1059,2
1060,1
1061,6
1062,3
1063,5
1064,5
1065,5
1066,4
1067,6
1068,3
1069,3
1070,9
1071,7
1072,6
1073,5
1074,5
1075,5
1076,7
1077,3
1078,5
1079,7
1080,5
1081,1
1082,2
1083,5
1084,5
1085,1
1086,3
1087,6
1088,7
1089,3
1090,9
1091,5
1092,5
1093,5
1094,0
1095,5
1096,3
1097,5
1098,5
1099,5
1100,5
1101,3
1102,5
1103,5
1104,5
1105,5
1106,9
1107,5
1108,5
1109,5
1110,5
1111,5
1112,5
1113,5
1114,5
1115,5
1116,5
1117,7
1118,2
1119,5
1120,5
1121,7
1122,5
1123,0
1124,5
1125,2
1126,6
1127,5
1128,5
1129,5
1130,5
1131,7
1132,5
1133,7
1134,3
1135,5
1136,5
1137,9
1138,5
1139,5
1140,5
1141,5
1142,1
1143,5
1144,5
1145,5
1146,5
1147,7
1148,7
1149,7
1150,5
1151,5
1152,5
1153,5
1154,9
1155,3
1156,5
1157,9
1158,5
1159,5
1160,5
1161,2
1162,6
1163,5
1164,5
1165,9
1166,7
1167,5
1168,5
1169,7
1170,5
1171,5
1172,5
1173,3
1174,5
1175,5
1176,1
1177,5
1178,5
1179,5
1180,9
1181,3
1182,5
1183,7
1184,5
1185,5
1186,1
1187,6
1188,7
1189,5
1190,5
1191,5
1192,5
1193,1
1194,5
1195,7
1196,2
1197,1
1198,0
1199,5
1200,6
1201,6
1202,6
1203,6
1204,3
1205,6
1206,6
1207,6
1208,6
1209,6
1210,6
1211,6
1212,6
1213,7
1214,6
1215,9
1216,3
1217,5
1218,9
1219,5
1220,6
1221,6
1222,1
1223,6
1224,6
1225,5
1226,6
1227,6
1228,6
1229,6
1230,6
1231,7
1232,6
1233,6
1234,6
